스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
9	17	1,846	2,628,920	320	122,171,636,730	13,933,163
8	16	1,810	2,678,000	334	122,174,314,730	13,933,497
5	5	285	847,360	136	122,175,162,090	13,933,633
6	6	449	938,960	117	122,176,101,050	13,933,750
6	6	487	779,300	93	122,176,880,350	13,933,843
6	6	487	970,100	112	122,177,850,450	13,933,955
7	7	591	1,061,460	122	122,178,911,910	13,934,077
5	6	389	639,500	82	122,179,551,410	13,934,159
5	6	517	535,300	69	122,180,086,710	13,934,228
2	2	364	133,500	17	122,180,220,210	13,934,245
2	2	364	206,800	28	122,180,427,010	13,934,273
2	2	244	128,000	18	122,180,555,010	13,934,291
2	2	244	220,150	33	122,180,775,160	13,934,324
2	2	244	244,000	36	122,181,019,160	13,934,360
2	2	307	166,800	22	122,181,185,960	13,934,382
2	2	307	235,000	30	122,181,420,960	13,934,412
1	1	80	65,300	10	122,181,486,260	13,934,422
1	1	80	212,000	32	122,181,698,260	13,934,454
1	1	80	147,300	22	122,181,845,560	13,934,476
1	1	80	120,000	18	122,181,965,560	13,934,494
1	1	80	101,000	15	122,182,066,560	13,934,509
1	1	200	39,000	5	122,182,105,560	13,934,514
1	1	200	143,000	19	122,182,248,560	13,934,533
1	1	143	32,000	4	122,182,280,560	13,934,537
1	1	143	77,000	10	122,182,357,560	13,934,547
1	1	143	54,000	7	122,182,411,560	13,934,554
1	1	143	60,600	8	122,182,472,160	13,934,562
1	1	143	95,000	13	122,182,567,160	13,934,575
1	1	80	13,000	2	122,182,580,160	13,934,577
1	1	143	114,000	15	122,182,694,160	13,934,592
491	691	129,003	51,889,400	6,980	122,234,583,560	13,941,572
517	750	140,162	62,780,100	8,809	122,297,363,660	13,950,381
479	647	120,898	40,896,600	5,624	122,338,260,260	13,956,005
456	617	114,326	41,190,160	5,766	122,379,450,420	13,961,771
451	609	112,330	40,021,420	5,656	122,419,471,840	13,967,427
406	531	97,049	25,475,240	3,507	122,444,947,080	13,970,934
439	587	105,092	47,233,940	6,668	122,492,181,020	13,977,602
