iter	Logloss
0	0.6745646292
1	0.660907524
2	0.6437437199
3	0.6305208921
4	0.6174465118
5	0.603422633
6	0.590556819
7	0.5775249425
8	0.5677108767
9	0.5588900143
10	0.5479660605
11	0.5399304878
12	0.5310385387
13	0.5253009346
14	0.5153624837
15	0.5059510029
16	0.4973173548
17	0.4899569558
18	0.4834325641
19	0.4758812993
20	0.4711625033
21	0.4653973544
22	0.4593369523
23	0.4536708511
24	0.4501792895
25	0.4459180895
26	0.4400243969
27	0.4341972155
28	0.4310821577
29	0.4291500906
30	0.4237456303
31	0.4218927639
32	0.4192851454
33	0.4146911568
34	0.4116947743
35	0.4098725027
36	0.4060479256
37	0.4029911087
38	0.4004836324
39	0.3977942938
40	0.3953227656
41	0.3925354692
42	0.3895846034
43	0.3872868879
44	0.384801936
45	0.3824096177
46	0.380452847
47	0.3785225719
48	0.376545027
49	0.3750677959
50	0.3727738461
51	0.3707010886
52	0.3687932542
53	0.3678479714
54	0.3666676757
55	0.3643984315
56	0.3626622535
57	0.3603406454
58	0.358130661
59	0.3563599457
60	0.3546947617
61	0.3529706249
62	0.3515027506
63	0.350725259
64	0.3494828738
65	0.3480664035
66	0.3468360744
67	0.3451815645
68	0.3440507296
69	0.3424130612
70	0.3413431774
71	0.339154145
72	0.3372179782
73	0.3356253906
74	0.3339478078
75	0.3329628151
76	0.3318894775
77	0.3306842486
78	0.3289626373
79	0.3279671149
80	0.3263755846
81	0.3262593752
82	0.3250731388
83	0.3244467224
84	0.3234918082
85	0.3227127454
86	0.3215937279
87	0.3208059947
88	0.3198239074
89	0.3184195613
90	0.317017244
91	0.3163498602
92	0.3154552697
93	0.314673761
94	0.3137237911
95	0.3125542596
96	0.3116324107
97	0.3107252854
98	0.3101265348
99	0.3089259214
100	0.3078219057
101	0.3068296545
102	0.3055256985
103	0.3048692074
104	0.304200425
105	0.3032297335
106	0.3020460339
107	0.3013113891
108	0.3004227197
109	0.299527109
110	0.2985384847
111	0.2975818805
112	0.2963598208
113	0.2958336818
114	0.2948866903
115	0.2943268777
116	0.2931582531
117	0.2923808287
118	0.2916889012
119	0.2908288749
120	0.2899279076
121	0.2894574609
122	0.2889990947
123	0.2879195496
124	0.2873828851
125	0.2864098354
126	0.2859767589
127	0.2851788401
128	0.2845577537
129	0.2841184937
130	0.283305946
131	0.2828607807
132	0.2823828567
133	0.281650318
134	0.2809105612
135	0.2803877338
136	0.2797331446
137	0.2790247995
138	0.2783671395
139	0.277490079
140	0.2768619045
141	0.2762335301
142	0.2756830509
143	0.2751131779
144	0.2745366258
145	0.273872257
146	0.2731163448
147	0.2722354711
148	0.271619146
149	0.270741108
150	0.2696779497
151	0.2689068306
152	0.2682047896
153	0.2677723026
154	0.2673713333
155	0.2666869512
156	0.2661214195
157	0.2652161561
158	0.264679071
159	0.2637555925
160	0.2628834284
161	0.2626282971
162	0.2621194171
163	0.2615756298
164	0.2613123043
165	0.2608800355
166	0.2601383236
167	0.2596384161
168	0.2591687725
169	0.2587822631
170	0.2584362892
171	0.2580922568
172	0.2576676823
173	0.2569558972
174	0.256254534
175	0.2553741408
176	0.2550434701
177	0.2544654288
178	0.2540501545
179	0.2536788185
180	0.2530463703
181	0.2530380988
182	0.2525208717
183	0.2517517247
184	0.250975329
185	0.2502146524
186	0.2497058856
187	0.2490743819
188	0.2487179664
189	0.2481908398
190	0.247187353
191	0.2465133237
192	0.2456820483
193	0.2451933997
194	0.2447265076
195	0.2440340744
196	0.2438128838
197	0.2436393876
198	0.2433478195
199	0.2428789387
200	0.2425101971
201	0.2419328112
202	0.2414335282
203	0.2413632278
204	0.2408745666
205	0.2400474466
206	0.2393754761
207	0.2390412398
208	0.2381059551
209	0.2375802056
210	0.2367786998
211	0.2363549146
212	0.2359387069
213	0.235254047
214	0.2346352686
215	0.2340504925
216	0.2337177439
217	0.2331188954
218	0.2327126256
219	0.2321820614
220	0.231729678
221	0.2311870431
222	0.2304196008
223	0.2297780739
224	0.2290649454
225	0.228805446
226	0.2282764422
227	0.2277579275
228	0.2273027303
229	0.2267970724
230	0.2262215829
231	0.2258591706
232	0.2250085506
233	0.224456688
234	0.2240501538
235	0.2235963037
236	0.2228542981
237	0.2223087674
238	0.2217957316
239	0.2214604038
240	0.2211430277
241	0.2208819258
242	0.2203043608
243	0.2197606137
244	0.219411419
245	0.2186251444
246	0.2182940228
247	0.2177294739
248	0.2172659773
249	0.2167688618
250	0.2165984122
251	0.2162902932
252	0.2158437964
253	0.2156486285
254	0.2154684177
255	0.215089377
256	0.2144713886
257	0.2141092728
258	0.2137029126
259	0.2133183526
260	0.2130225928
261	0.2126678968
262	0.2121493031
263	0.2120315996
264	0.2115780864
265	0.2112383011
266	0.2105791046
267	0.2101733631
268	0.2096123641
269	0.2092038668
270	0.2087043675
271	0.2083104177
272	0.2079179457
273	0.2074950402
274	0.2071597035
275	0.2068037539
276	0.206275195
277	0.2058732045
278	0.2055568319
279	0.2053247608
280	0.2050377295
281	0.204556793
282	0.204162337
283	0.2036709944
284	0.203165156
285	0.202529898
286	0.202243232
287	0.2018659001
288	0.2013398126
289	0.2008914303
290	0.2004290062
291	0.2000584823
292	0.1991867123
293	0.1987617485
294	0.1983915041
295	0.1981989408
296	0.1979154263
297	0.1974558482
298	0.1971298126
299	0.1963986313
300	0.1958561864
301	0.1954732886
302	0.1946251307
303	0.1941542394
304	0.1938804416
305	0.1935261806
306	0.1931472874
307	0.1927374706
308	0.1922433045
309	0.1917337667
310	0.1913029715
311	0.1909541238
312	0.1906051147
313	0.1903457284
314	0.1900012788
315	0.1895989124
316	0.189170066
317	0.1887969221
318	0.1883698262
319	0.1880176169
320	0.187680762
321	0.1873633208
322	0.1869918822
323	0.1865535258
324	0.1861839895
325	0.1858143303
326	0.1854919162
327	0.1853104702
328	0.1849695422
329	0.1847374267
330	0.1844574472
331	0.1841853326
332	0.1838342552
333	0.1833945122
334	0.1831385383
335	0.1829100996
336	0.182604755
337	0.1822655192
338	0.181984115
339	0.181662456
340	0.1813399896
341	0.1809099907
342	0.1805999647
343	0.1801564981
344	0.1798278933
345	0.1794790765
346	0.1792031824
347	0.1787086273
348	0.1782794253
349	0.1779467175
350	0.1776807692
351	0.1773374484
352	0.1770991648
353	0.1766854525
354	0.1763709762
355	0.1760666719
356	0.175787421
357	0.1754403145
358	0.1751252876
359	0.1748962761
360	0.1747390186
361	0.1743213278
362	0.1738218073
363	0.1733221872
364	0.1730023071
365	0.1726460331
366	0.1723661016
367	0.1720085931
368	0.1717166198
369	0.1713812521
370	0.1710910762
371	0.1707045704
372	0.1704036342
373	0.1700240158
374	0.1697574964
375	0.1694115719
376	0.1690529014
377	0.1688038135
378	0.1685428062
379	0.1681605528
380	0.1677957411
381	0.1675323776
382	0.1672809681
383	0.1669548644
384	0.1666226965
385	0.1663004813
386	0.1660119186
387	0.1656859481
388	0.1651704112
389	0.1648458938
390	0.1645760184
391	0.1643670383
392	0.1638834204
393	0.1634678323
394	0.163134789
395	0.1628620243
396	0.1625670157
397	0.162262061
398	0.1618406329
399	0.1615217619
400	0.1612214026
401	0.1609451903
402	0.1606346899
403	0.160347442
404	0.1598851675
405	0.1594910573
406	0.1592424664
407	0.1589955935
408	0.1587439408
409	0.1585052354
410	0.1582353462
411	0.15795153
412	0.1576813614
413	0.1574833867
414	0.1571030835
415	0.1569327259
416	0.1566471537
417	0.156313065
418	0.1560204429
419	0.155738865
420	0.1554893042
421	0.155327651
422	0.1550239644
423	0.1547779817
424	0.1544505335
425	0.1541638215
426	0.1539363702
427	0.153589254
428	0.1532938673
429	0.1530600547
430	0.1528170625
431	0.1525386173
432	0.1523312706
433	0.1521103632
434	0.1518481491
435	0.1515822277
436	0.1513037223
437	0.1510667496
438	0.1507802703
439	0.1504479683
440	0.1502587094
441	0.1500937005
442	0.149750726
443	0.1495297985
444	0.1493535726
445	0.14912986
446	0.1488443137
447	0.1485287345
448	0.1483509643
449	0.1481228174
450	0.1478429435
451	0.1476216733
452	0.1473794696
453	0.1471726552
454	0.147009656
455	0.146817443
456	0.1465655793
457	0.1463404871
458	0.1460581573
459	0.145727085
460	0.1456074594
461	0.1454483492
462	0.1452192425
463	0.1449782422
464	0.1447175266
465	0.1443873868
466	0.1441720198
467	0.1439175017
468	0.1437529806
469	0.1435637606
470	0.1432344011
471	0.1430965131
472	0.1428511023
473	0.1426277556
474	0.1423908563
475	0.1422775596
476	0.1421993398
477	0.1419693413
478	0.1417700249
479	0.1414985133
480	0.1413516143
481	0.1411788664
482	0.1407936412
483	0.1405221954
484	0.1403249004
485	0.1401198338
486	0.1399184392
487	0.1397248198
488	0.1395434518
489	0.1392544859
490	0.1389901409
491	0.1387927144
492	0.1385169873
493	0.1380324616
494	0.1377707811
495	0.1374905232
496	0.1372592342
497	0.1369659127
498	0.1367422527
499	0.1365735462
