날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2010-04-23	13 	2390 	3334000 	380 	27842228000 	4295881 
2010-04-24	14 	2593 	7388000 	856 	27849616000 	4296737 
2010-04-25	15 	2721 	5792000 	673 	27855408000 	4297410 
2010-04-26	14 	2593 	1807000 	220 	27857215000 	4297630 
2010-04-27	14 	2593 	2695000 	328 	27859910000 	4297958 
2010-04-28	8 	1600 	2176000 	248 	27862086000 	4298206 
2010-04-29	15 	3426 	2313500 	268 	27864399500 	4298474 
2010-04-30	11 	1976 	2008000 	230 	27866407500 	4298704 
2010-05-01	9 	1563 	5090500 	577 	27871498000 	4299281 
2010-05-02	9 	1563 	5043500 	574 	27876541500 	4299855 
2010-05-03	9 	1543 	1489000 	173 	27878030500 	4300028 
2010-05-04	9 	1543 	2042000 	241 	27880072500 	4300269 
2010-05-06	2 	309 	24000 	5 	27880096500 	4300274 
2010-05-07	2 	292 	12000 	2 	27880108500 	4300276 
2010-05-08	2 	292 	82000 	14 	27880190500 	4300290 
2010-05-09	1 	146 	25000 	5 	27880215500 	4300295 
2010-05-10	1 	146 	15000 	3 	27880230500 	4300298 
2010-05-11	1 	146 	25000 	5 	27880255500 	4300303 
2010-05-12	1 	146 	10000 	2 	27880265500 	4300305 
2010-05-13	4 	380 	112000 	15 	27880377500 	4300320 
2010-05-14	5 	475 	154000 	19 	27880531500 	4300339 
2010-05-17	6 	570 	160000 	23 	27880691500 	4300362 
2010-05-18	2 	190 	21000 	3 	27880712500 	4300365 
