날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-25	30 	6955 	52201000 	6973 	52201000 	6973 
2022-07-26	24 	4703 	41437000 	4517 	93638000 	11490 
2022-07-30	9 	2392 	25303600 	2077 	118941600 	13567 
2022-07-31	11 	2484 	28548316 	2196 	147489916 	15763 
2022-08-01	31 	7755 	73157300 	4885 	220647216 	20648 
2022-08-02	7 	1888 	26522000 	1681 	247169216 	22329 
2022-08-03	7374 	1149189 	3328192755 	336746 	3575361971 	359075 
2022-08-04	7449 	1166183 	2023498360 	222120 	5598860331 	581195 
2022-08-05	7281 	1138378 	2094794151 	213574 	7693654482 	794769 
