스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
1	1	214	1,926,000	214	1,926,000	214
1	1	166	1,660,000	166	3,586,000	380
1	1	247	2,223,000	247	5,809,000	627
4	4	788	7,092,000	788	12,901,000	1,415
694	1,351	155,748	320,232,350	34,831	333,133,350	36,246
