스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
10	20	2,636	27,502,000	2,632	27,502,000	2,632
5	5	802	5,067,000	657	32,569,000	3,289
9	9	2,129	24,218,700	1,888	56,787,700	5,177
8	8	1,712	19,058,800	1,511	75,846,500	6,688
25	25	6,364	75,532,000	6,364	151,378,500	13,052
6	8	2,110	18,843,000	1,882	170,221,500	14,934
2,223	10,631	1,686,842	3,279,890,746	386,177	3,450,112,246	401,111
2,180	10,193	1,640,769	2,393,367,176	236,982	5,843,479,422	638,093
